Aleutians East Borough	3398
Aleutians West Census Area	5059
Anchorage Municipality	288121
Bethel Census Area	18557
Bristol Bay Borough	838
Chugach Census Area	6941
Copper River Census Area	2630
Denali Borough	1593
Dillingham Census Area	4772
Fairbanks North Star Borough	95593
Haines Borough	2071
Hoonah-Angoon Census Area	2332
Juneau City and Borough	31973
Kenai Peninsula Borough	59767
Ketchikan Gateway Borough	13754
Kodiak Island Borough	12787
Kusilvak Census Area	8360
Lake and Peninsula Borough	1416
Matanuska-Susitna Borough	110686
Nome Census Area	9865
North Slope Borough	10972
Northwest Arctic Borough	7560
Petersburg Borough	3356
Prince of Wales-Hyder Census Area	5729
Sitka City and Borough	8407
Skagway Municipality	1132
Southeast Fairbanks Census Area	6970
Wrangell City and Borough	2055
Yakutat City and Borough	704
Yukon-Koyukuk Census Area	5275
