Arkansas County	16722
Ashley County	18674
Baxter County	42144
Benton County	293692
Boone County	37830
Bradley County	10408
Calhoun County	4741
Carroll County	28435
Chicot County	10019
Clark County	21321
Clay County	14350
Cleburne County	25015
Cleveland County	7514
Columbia County	22672
Conway County	20873
Craighead County	112218
Crawford County	60378
Crittenden County	47525
Cross County	16681
Dallas County	6308
Desha County	11090
Drew County	17110
Faulkner County	125106
Franklin County	17173
Fulton County	12145
Garland County	100330
Grant County	18090
Greene County	46317
Hempstead County	19694
Hot Spring County	33148
Howard County	12698
Independence County	37723
Izard County	13911
Jackson County	16811
Jefferson County	65861
Johnson County	25845
Lafayette County	6163
Lawrence County	16292
Lee County	8619
Lincoln County	13037
Little River County	11944
Logan County	21215
Lonoke County	74722
Madison County	16960
Marion County	16978
Miller County	42649
Mississippi County	39661
Monroe County	6683
Montgomery County	8611
Nevada County	8187
Newton County	7204
Ouachita County	22306
Perry County	9964
Phillips County	15906
Pike County	10066
Poinsett County	22660
Polk County	19353
Pope County	63789
Prairie County	8135
Pulaski County	397821
Randolph County	18865
St. Francis County	22739
Saline County	125233
Scott County	9822
Searcy County	7880
Sebastian County	128400
Sevier County	15783
Sharp County	17622
Stone County	12481
Union County	38340
Van Buren County	15694
Washington County	250057
White County	77207
Woodruff County	6116
Yell County	20155
