Alameda County	1679844
Alpine County	1198
Amador County	40541
Butte County	210083
Calaveras County	45327
Colusa County	21853
Contra Costa County	1165562
Del Norte County	27709
El Dorado County	191114
Fresno County	1008966
Glenn County	28893
Humboldt County	136351
Imperial County	179489
Inyo County	19023
Kern County	909997
Kings County	152627
Lake County	68174
Lassen County	32719
Los Angeles County	9989165
Madera County	156620
Marin County	261776
Mariposa County	17124
Mendocino County	91354
Merced County	281726
Modoc County	8658
Mono County	13206
Monterey County	438500
Napa County	137608
Nevada County	102199
Orange County	3184101
Placer County	405741
Plumas County	19769
Riverside County	2422764
Sacramento County	1586241
San Benito County	64507
San Bernardino County	2182740
San Diego County	3297252
San Francisco County	870014
San Joaquin County	780517
San Luis Obispo County	282231
San Mateo County	762453
Santa Barbara County	448096
Santa Clara County	1930598
Santa Cruz County	270353
Shasta County	181893
Sierra County	3228
Siskiyou County	43962
Solano County	453274
Sonoma County	488345
Stanislaus County	552710
Sutter County	99480
Tehama County	65615
Trinity County	16088
Tulare County	473736
Tuolumne County	55516
Ventura County	842921
Yolo County	216255
Yuba County	81932
