Adams County	520163
Alamosa County	16362
Arapahoe County	655112
Archuleta County	13424
Baca County	3486
Bent County	5635
Boulder County	330811
Broomfield County	74513
Chaffee County	19571
Cheyenne County	1736
Clear Creek County	9404
Conejos County	7464
Costilla County	3506
Crowley County	5893
Custer County	4712
Delta County	31232
Denver County	717630
Dolores County	2338
Douglas County	360102
Eagle County	55665
Elbert County	26206
El Paso County	731847
Fremont County	48981
Garfield County	61776
Gilpin County	5810
Grand County	15733
Gunnison County	16945
Hinsdale County	794
Huerfano County	6810
Jackson County	1376
Jefferson County	582928
Kiowa County	1452
Kit Carson County	7064
Lake County	7409
La Plata County	55642
Larimer County	359686
Las Animas County	14564
Lincoln County	5669
Logan County	21495
Mesa County	155939
Mineral County	867
Moffat County	13267
Montezuma County	25858
Montrose County	42798
Morgan County	29065
Otero County	18667
Ouray County	4869
Park County	17421
Phillips County	4534
Pitkin County	17342
Prowers County	11986
Pueblo County	168467
Rio Blanco County	6518
Rio Grande County	11538
Routt County	24839
Saguache County	6383
San Juan County	710
San Miguel County	8055
Sedgwick County	2390
Summit County	30971
Teller County	24726
Washington County	4815
Weld County	331358
Yuma County	9979
