Alachua County	278684
Baker County	28309
Bay County	174461
Bradford County	28364
Brevard County	608007
Broward County	1941516
Calhoun County	13615
Charlotte County	187960
Citrus County	154403
Clay County	218797
Collier County	377079
Columbia County	69889
DeSoto County	34080
Dixie County	16805
Duval County	996373
Escambia County	322424
Flagler County	115968
Franklin County	12456
Gadsden County	43701
Gilchrist County	17928
Glades County	12179
Gulf County	14181
Hamilton County	13988
Hardee County	25313
Hendry County	39707
Hernando County	195508
Highlands County	101222
Hillsborough County	1463380
Holmes County	19622
Indian River County	160345
Jackson County	47214
Jefferson County	14560
Lafayette County	8252
Lake County	385875
Lee County	764679
Leon County	292378
Levy County	43051
Liberty County	7974
Madison County	17976
Manatee County	401443
Marion County	377370
Martin County	158529
Miami-Dade County	2692459
Monroe County	82809
Nassau County	90993
Okaloosa County	211809
Okeechobee County	39641
Orange County	1429899
Osceola County	390855
Palm Beach County	1492466
Pasco County	565745
Pinellas County	958752
Polk County	729233
Putnam County	73347
St. Johns County	276916
St. Lucie County	331275
Santa Rosa County	189133
Sarasota County	435664
Seminole County	471058
Sumter County	130897
Suwannee County	43510
Taylor County	21760
Union County	16126
Volusia County	554901
Wakulla County	33907
Walton County	75855
Washington County	25357
