Ada County	497984
Adams County	4424
Bannock County	87177
Bear Lake County	6370
Benewah County	9576
Bingham County	48068
Blaine County	24327
Boise County	7647
Bonner County	47390
Bonneville County	124626
Boundary County	12113
Butte County	2577
Camas County	1089
Canyon County	232714
Caribou County	7015
Cassia County	24699
Clark County	792
Clearwater County	8750
Custer County	4266
Elmore County	28668
Franklin County	14269
Fremont County	13404
Gem County	19258
Gooding County	15643
Idaho County	16561
Jefferson County	31055
Jerome County	24222
Kootenai County	172646
Latah County	39611
Lemhi County	7948
Lewis County	3531
Lincoln County	5133
Madison County	52876
Minidoka County	21674
Nez Perce County	42088
Oneida County	4554
Owyhee County	11978
Payette County	25589
Power County	7879
Shoshone County	13189
Teton County	11731
Twin Falls County	90279
Valley County	11838
Washington County	10544
