Adams County	65530
Alexander County	5168
Bond County	16663
Boone County	53326
Brown County	6217
Bureau County	33118
Calhoun County	4411
Carroll County	15664
Cass County	12956
Champaign County	205469
Christian County	33900
Clark County	15407
Clay County	13267
Clinton County	36896
Coles County	46737
Cook County	5262741
Crawford County	18639
Cumberland County	10428
DeKalb County	100233
De Witt County	15441
Douglas County	19742
DuPage County	931153
Edgar County	16755
Edwards County	6205
Effingham County	34614
Fayette County	21460
Ford County	13533
Franklin County	37636
Fulton County	33440
Gallatin County	4947
Greene County	11915
Grundy County	52514
Hamilton County	7977
Hancock County	17552
Hardin County	3634
Henderson County	6339
Henry County	49138
Iroquois County	26984
Jackson County	52896
Jasper County	9247
Jefferson County	37029
Jersey County	21444
Jo Daviess County	22035
Johnson County	13307
Kane County	516155
Kankakee County	107236
Kendall County	132291
Knox County	49736
Lake County	713217
LaSalle County	109359
Lawrence County	15234
Lee County	34021
Livingston County	35752
Logan County	27879
McDonough County	27079
McHenry County	309770
McLean County	170870
Macon County	103647
Macoupin County	44810
Madison County	265498
Marion County	37613
Marshall County	11691
Mason County	13026
Massac County	14125
Menard County	12265
Mercer County	15633
Monroe County	34898
Montgomery County	28157
Morgan County	32798
Moultrie County	14486
Ogle County	51678
Peoria County	181225
Perry County	20880
Piatt County	16654
Pike County	14633
Pope County	3744
Pulaski County	5161
Putnam County	5635
Randolph County	30055
Richland County	15803
Rock Island County	144267
St. Clair County	256789
Saline County	23634
Sangamon County	196012
Schuyler County	6875
Scott County	4927
Shelby County	20900
Stark County	5391
Stephenson County	44457
Tazewell County	131018
Union County	17179
Vermilion County	73883
Wabash County	11316
Warren County	16777
Washington County	13711
Wayne County	16121
White County	13808
Whiteside County	55509
Will County	695903
Williamson County	67094
Winnebago County	284858
Woodford County	38395
