Adams County	35961
Allen County	388608
Bartholomew County	82475
Benton County	8714
Blackford County	12091
Boone County	73052
Brown County	15552
Carroll County	20444
Cass County	37563
Clark County	122738
Clay County	26410
Clinton County	33065
Crawford County	10514
Daviess County	33397
Dearborn County	50816
Decatur County	26320
DeKalb County	43333
Delaware County	111871
Dubois County	43549
Elkhart County	206921
Fayette County	23360
Floyd County	80454
Fountain County	16427
Franklin County	22842
Fulton County	20386
Gibson County	32924
Grant County	66263
Greene County	30786
Hamilton County	356650
Hancock County	81789
Harrison County	39761
Hendricks County	179355
Henry County	48935
Howard County	83687
Huntington County	36717
Jackson County	46067
Jasper County	33091
Jay County	20248
Jefferson County	33141
Jennings County	27409
Johnson County	164298
Knox County	35956
Kosciusko County	80106
LaGrange County	40524
Lake County	498558
LaPorte County	112390
Lawrence County	45070
Madison County	130782
Marion County	971102
Marshall County	46121
Martin County	9780
Miami County	36081
Monroe County	139875
Montgomery County	38063
Morgan County	72206
Newton County	13808
Noble County	47227
Ohio County	5978
Orange County	19830
Owen County	21446
Parke County	16407
Perry County	19316
Pike County	12144
Porter County	174243
Posey County	25116
Pulaski County	12339
Putnam County	36979
Randolph County	24387
Ripley County	29081
Rush County	16672
St. Joseph County	272212
Scott County	24355
Shelby County	45039
Spencer County	19798
Starke County	23372
Steuben County	34632
Sullivan County	20758
Switzerland County	9790
Tippecanoe County	187076
Tipton County	15372
Union County	7047
Vanderburgh County	179987
Vermillion County	15341
Vigo County	105994
Wabash County	30816
Warren County	8475
Warrick County	64514
Washington County	28102
Wayne County	66456
Wells County	28197
White County	24651
Whitley County	34430
