Adair County	7477
Adams County	3697
Allamakee County	14067
Appanoose County	12282
Audubon County	5671
Benton County	25536
Black Hawk County	130980
Boone County	26691
Bremer County	24974
Buchanan County	20586
Buena Vista County	20776
Butler County	14311
Calhoun County	9886
Carroll County	20702
Cass County	13104
Cedar County	18495
Cerro Gordo County	42965
Cherokee County	11632
Chickasaw County	11970
Clarke County	9726
Clay County	16333
Clayton County	16996
Clinton County	46418
Crawford County	16453
Dallas County	100486
Davis County	9109
Decatur County	7610
Delaware County	17458
Des Moines County	38831
Dickinson County	17747
Dubuque County	99229
Emmet County	9332
Fayette County	19399
Floyd County	15552
Franklin County	9983
Fremont County	6560
Greene County	8746
Grundy County	12312
Guthrie County	10612
Hamilton County	15020
Hancock County	10757
Hardin County	16821
Harrison County	14546
Henry County	20412
Howard County	9487
Humboldt County	9595
Ida County	7007
Iowa County	16679
Jackson County	19437
Jasper County	37802
Jefferson County	15659
Johnson County	152984
Jones County	20647
Keokuk County	9995
Kossuth County	14786
Lee County	33512
Linn County	230263
Louisa County	10806
Lucas County	8615
Lyon County	11917
Madison County	16626
Mahaska County	22148
Marion County	33377
Marshall County	40059
Mills County	14405
Mitchell County	10582
Monona County	8742
Monroe County	7582
Montgomery County	10335
Muscatine County	43113
O'Brien County	14154
Osceola County	6189
Page County	15180
Palo Alto County	8961
Plymouth County	25681
Pocahontas County	7075
Polk County	492769
Pottawattamie County	93560
Poweshiek County	18643
Ringgold County	4639
Sac County	9791
Scott County	174488
Shelby County	11699
Sioux County	35869
Story County	98615
Tama County	17072
Taylor County	5861
Union County	12097
Van Buren County	7204
Wapello County	35341
Warren County	52548
Washington County	22511
Wayne County	6509
Webster County	36954
Winnebago County	10650
Winneshiek County	20031
Woodbury County	105829
Worth County	7425
Wright County	12914
