Acadia Parish	57288
Allen Parish	22687
Ascension Parish	128369
Assumption Parish	20689
Avoyelles Parish	39236
Beauregard Parish	36584
Bienville Parish	12776
Bossier Parish	129144
Caddo Parish	233092
Calcasieu Parish	205282
Caldwell Parish	9571
Cameron Parish	5080
Catahoula Parish	8805
Claiborne Parish	14038
Concordia Parish	18376
De Soto Parish	26919
East Baton Rouge Parish	453301
East Carroll Parish	7220
East Feliciana Parish	19338
Evangeline Parish	32215
Franklin Parish	19668
Grant Parish	22236
Iberia Parish	68975
Iberville Parish	29824
Jackson Parish	14876
Jefferson Parish	433688
Jefferson Davis Parish	32345
Lafayette Parish	244205
Lafourche Parish	97504
LaSalle Parish	14834
Lincoln Parish	48152
Livingston Parish	145830
Madison Parish	9799
Morehouse Parish	25025
Natchitoches Parish	37026
Orleans Parish	376971
Ouachita Parish	158768
Plaquemines Parish	23303
Pointe Coupee Parish	20356
Rapides Parish	128654
Red River Parish	7564
Richland Parish	19805
Sabine Parish	22135
St. Bernard Parish	44258
St. Charles Parish	52282
St. Helena Parish	10912
St. James Parish	19742
St. John the Baptist Parish	42094
St. Landry Parish	82071
St. Martin Parish	51540
St. Mary Parish	48232
St. Tammany Parish	269388
Tangipahoa Parish	135217
Tensas Parish	4043
Terrebonne Parish	108708
Union Parish	21091
Vermilion Parish	57204
Vernon Parish	48027
Washington Parish	45133
Webster Parish	36184
West Baton Rouge Parish	27792
West Carroll Parish	9594
West Feliciana Parish	15494
Winn Parish	13488
