Alcona County	10158
Alger County	8834
Allegan County	120596
Alpena County	28877
Antrim County	23421
Arenac County	14990
Baraga County	8128
Barry County	62548
Bay County	103594
Benzie County	17974
Berrien County	154095
Branch County	44810
Calhoun County	134113
Cass County	51563
Charlevoix County	26012
Cheboygan County	25599
Chippewa County	36744
Clare County	30822
Clinton County	79128
Crawford County	12965
Delta County	36842
Dickinson County	25886
Eaton County	109106
Emmet County	34090
Genesee County	405648
Gladwin County	25369
Gogebic County	14315
Grand Traverse County	95315
Gratiot County	41662
Hillsdale County	45677
Houghton County	37160
Huron County	31351
Ingham County	284520
Ionia County	66861
Iosco County	25191
Iron County	11637
Isabella County	64488
Jackson County	160200
Kalamazoo County	261629
Kalkaska County	17925
Kent County	658040
Keweenaw County	2055
Lake County	12099
Lapeer County	88528
Leelanau County	22302
Lenawee County	99214
Livingston County	193973
Luce County	5325
Mackinac County	10830
Macomb County	880349
Manistee County	25063
Marquette County	65931
Mason County	29064
Mecosta County	39781
Menominee County	23423
Midland County	83476
Missaukee County	15067
Monroe County	154796
Montcalm County	66515
Montmorency County	9155
Muskegon County	175817
Newaygo County	50042
Oakland County	1272408
Oceana County	26688
Ogemaw County	20740
Ontonagon County	5804
Osceola County	22887
Oscoda County	8234
Otsego County	25102
Ottawa County	296787
Presque Isle County	12979
Roscommon County	23432
Saginaw County	189831
St. Clair County	160265
St. Joseph County	60902
Sanilac County	40506
Schoolcraft County	8041
Shiawassee County	67983
Tuscola County	53274
Van Buren County	75556
Washtenaw County	371656
Wayne County	1790225
Wexford County	33676
