Aitkin County	15887
Anoka County	367018
Becker County	35219
Beltrami County	46380
Benton County	41459
Big Stone County	5145
Blue Earth County	69280
Brown County	25819
Carlton County	36409
Carver County	108626
Cass County	30639
Chippewa County	12357
Chisago County	57469
Clay County	65574
Clearwater County	8576
Cook County	5617
Cottonwood County	11569
Crow Wing County	67270
Dakota County	442038
Dodge County	20935
Douglas County	39238
Faribault County	13909
Fillmore County	21271
Freeborn County	30749
Goodhue County	47968
Grant County	6153
Hennepin County	1267416
Houston County	18778
Hubbard County	21715
Isanti County	41906
Itasca County	45070
Jackson County	9990
Kanabec County	16159
Kandiyohi County	43767
Kittson County	4146
Koochiching County	11941
Lac qui Parle County	6684
Lake County	10986
Lake of the Woods County	3823
Le Sueur County	28841
Lincoln County	5567
Lyon County	25231
McLeod County	36735
Mahnomen County	5414
Marshall County	8988
Martin County	19915
Meeker County	23376
Mille Lacs County	26867
Morrison County	33992
Mower County	40158
Murray County	8144
Nicollet County	34332
Nobles County	21991
Norman County	6416
Olmsted County	163436
Otter Tail County	60046
Pennington County	13780
Pine County	29302
Pipestone County	9313
Polk County	30757
Pope County	11403
Ramsey County	543257
Red Lake County	3933
Redwood County	15366
Renville County	14608
Rice County	67262
Rock County	9680
Roseau County	15258
St. Louis County	199182
Scott County	153268
Sherburne County	99074
Sibley County	14917
Stearns County	158947
Steele County	37349
Stevens County	9700
Swift County	9749
Todd County	25237
Traverse County	3286
Wabasha County	21509
Wadena County	14177
Waseca County	19000
Washington County	272256
Watonwan County	11135
Wilkin County	6395
Winona County	49630
Wright County	144845
Yellow Medicine County	9411
