Adams County	28742
Alcorn County	34349
Amite County	12637
Attala County	17742
Benton County	7646
Bolivar County	30308
Calhoun County	13018
Carroll County	9879
Chickasaw County	17011
Choctaw County	8106
Claiborne County	8908
Clarke County	15421
Clay County	18535
Coahoma County	20810
Copiah County	27995
Covington County	18279
DeSoto County	188633
Forrest County	77875
Franklin County	7676
George County	24762
Greene County	13630
Grenada County	21365
Hancock County	46055
Harrison County	209396
Hinds County	222679
Holmes County	16496
Humphreys County	7551
Issaquena County	1280
Itawamba County	23838
Jackson County	143987
Jasper County	16291
Jefferson County	7205
Jefferson Davis County	11134
Jones County	66744
Kemper County	8829
Lafayette County	56884
Lamar County	65353
Lauderdale County	72088
Lawrence County	11812
Leake County	21196
Lee County	82883
Leflore County	27557
Lincoln County	34943
Lowndes County	58150
Madison County	109813
Marion County	24378
Marshall County	33725
Monroe County	33883
Montgomery County	9729
Neshoba County	28993
Newton County	21056
Noxubee County	10123
Oktibbeha County	51842
Panola County	32851
Pearl River County	56503
Perry County	11571
Pike County	39973
Pontotoc County	31445
Prentiss County	24996
Quitman County	5935
Rankin County	158096
Scott County	27598
Sharkey County	3663
Simpson County	25750
Smith County	14191
Stone County	18644
Sunflower County	25402
Tallahatchie County	12366
Tate County	28234
Tippah County	21635
Tishomingo County	18750
Tunica County	9696
Union County	27953
Walthall County	13836
Warren County	43579
Washington County	43687
Wayne County	19709
Webster County	9983
Wilkinson County	8315
Winston County	17596
Yalobusha County	12415
Yazoo County	26373
