Adair County	25246
Andrew County	18083
Atchison County	5306
Audrain County	24925
Barry County	34539
Barton County	11613
Bates County	16044
Benton County	19409
Bollinger County	10525
Boone County	183894
Buchanan County	84615
Butler County	42007
Caldwell County	8806
Callaway County	44288
Camden County	42784
Cape Girardeau County	81788
Carroll County	8461
Carter County	5207
Cass County	108113
Cedar County	14199
Chariton County	7380
Christian County	89224
Clark County	6632
Clay County	253923
Clinton County	21204
Cole County	77198
Cooper County	17089
Crawford County	23026
Dade County	7586
Dallas County	17099
Daviess County	8427
DeKalb County	11014
Dent County	14418
Douglas County	11592
Dunklin County	28178
Franklin County	104769
Gasconade County	14745
Gentry County	6115
Greene County	299060
Grundy County	9729
Harrison County	8155
Henry County	21949
Hickory County	8303
Holt County	4186
Howard County	10144
Howell County	39750
Iron County	9515
Jackson County	717243
Jasper County	122766
Jefferson County	226929
Johnson County	54002
Knox County	3732
Laclede County	36024
Lafayette County	33001
Lawrence County	37963
Lewis County	10031
Lincoln County	59829
Linn County	11849
Livingston County	14562
McDonald County	23285
Macon County	15182
Madison County	12600
Maries County	8427
Marion County	28470
Mercer County	3515
Miller County	24733
Mississippi County	12537
Moniteau County	15464
Monroe County	8666
Montgomery County	11262
Morgan County	20997
New Madrid County	16329
Newton County	58613
Nodaway County	21218
Oregon County	8617
Osage County	13249
Ozark County	8514
Pemiscot County	15585
Perry County	18960
Pettis County	42951
Phelps County	44517
Pike County	17613
Platte County	107100
Polk County	31577
Pulaski County	53964
Putnam County	4676
Ralls County	10351
Randolph County	24636
Ray County	23100
Reynolds County	6078
Ripley County	10680
St. Charles County	406258
St. Clair County	9340
Ste. Genevieve County	18476
St. Francois County	66900
St. Louis County	1002838
Saline County	23319
Schuyler County	4007
Scotland County	4698
Scott County	38009
Shannon County	7041
Shelby County	6101
Stoddard County	28652
Stone County	31175
Sullivan County	5976
Taney County	56020
Texas County	24413
Vernon County	19642
Warren County	35707
Washington County	23499
Wayne County	10913
Webster County	39168
Worth County	1962
Wright County	18180
St. Louis city	300528
