Adams County	31027
Antelope County	6279
Arthur County	439
Banner County	692
Blaine County	461
Boone County	5386
Box Butte County	10604
Boyd County	1789
Brown County	2908
Buffalo County	50339
Burt County	6709
Butler County	8444
Cass County	27017
Cedar County	8330
Chase County	3826
Cherry County	5458
Cheyenne County	9529
Clay County	6078
Colfax County	10498
Cuming County	8984
Custer County	10460
Dakota County	21241
Dawes County	8148
Dawson County	23898
Deuel County	1865
Dixon County	5545
Dodge County	37103
Douglas County	585008
Dundy County	1635
Fillmore County	5546
Franklin County	2903
Frontier County	2555
Furnas County	4604
Gage County	21616
Garden County	1847
Garfield County	1839
Gosper County	1824
Grant County	579
Greeley County	2169
Hall County	61979
Hamilton County	9386
Harlan County	3091
Hayes County	843
Hitchcock County	2586
Holt County	10049
Hooker County	734
Howard County	6531
Jefferson County	7176
Johnson County	5316
Kearney County	6674
Keith County	8279
Keya Paha County	787
Kimball County	3412
Knox County	8401
Lancaster County	324514
Lincoln County	34133
Logan County	687
Loup County	604
McPherson County	379
Madison County	35337
Merrick County	7665
Morrill County	4574
Nance County	3390
Nemaha County	7064
Nuckolls County	4060
Otoe County	15930
Pawnee County	2548
Perkins County	2832
Phelps County	8937
Pierce County	7313
Platte County	34241
Polk County	5174
Red Willow County	10623
Richardson County	7759
Rock County	1264
Saline County	14192
Sarpy County	193418
Saunders County	22787
Scotts Bluff County	35745
Seward County	17603
Sheridan County	5095
Sherman County	2964
Sioux County	1143
Stanton County	5816
Thayer County	4913
Thomas County	673
Thurston County	6620
Valley County	4066
Washington County	20969
Wayne County	9784
Webster County	3411
Wheeler County	795
York County	14244
