Bernalillo County	676581
Catron County	3612
Chaves County	65168
Cibola County	27076
Colfax County	12332
Curry County	48325
De Baca County	1678
Doña Ana County	219899
Eddy County	62257
Grant County	28209
Guadalupe County	4447
Harding County	660
Hidalgo County	4149
Lea County	74586
Lincoln County	20296
Los Alamos County	19424
Luna County	25420
McKinley County	72630
Mora County	4184
Otero County	67861
Quay County	8721
Rio Arriba County	40264
Roosevelt County	19118
Sandoval County	149218
San Juan County	121429
San Miguel County	27115
Santa Fe County	154977
Sierra County	11526
Socorro County	16565
Taos County	34392
Torrance County	15051
Union County	4067
Valencia County	76329
