Alamance County	171842
Alexander County	36430
Alleghany County	10899
Anson County	22030
Ashe County	26569
Avery County	17798
Beaufort County	44618
Bertie County	17851
Bladen County	29599
Brunswick County	138084
Buncombe County	269621
Burke County	87546
Cabarrus County	227065
Caldwell County	80512
Camden County	10398
Carteret County	67656
Caswell County	22694
Catawba County	160747
Chatham County	76611
Cherokee County	28833
Chowan County	13666
Clay County	11118
Cleveland County	99725
Columbus County	50505
Craven County	100552
Cumberland County	334370
Currituck County	28385
Dare County	37001
Davidson County	169131
Davie County	42806
Duplin County	48675
Durham County	325602
Edgecombe County	48697
Forsyth County	382733
Franklin County	69060
Gaston County	228269
Gates County	10452
Graham County	8016
Granville County	61041
Greene County	20444
Guilford County	541347
Halifax County	48495
Harnett County	133761
Haywood County	62131
Henderson County	116493
Hertford County	21451
Hoke County	52223
Hyde County	4549
Iredell County	187630
Jackson County	43134
Johnston County	217612
Jones County	9156
Lee County	63387
Lenoir County	54995
Lincoln County	87190
McDowell County	44536
Macon County	37049
Madison County	21209
Martin County	21949
Mecklenburg County	1118340
Mitchell County	14881
Montgomery County	25720
Moore County	100168
Nash County	95027
New Hanover County	226060
Northampton County	17438
Onslow County	204735
Orange County	148792
Pamlico County	12280
Pasquotank County	40645
Pender County	60563
Perquimans County	12997
Person County	39146
Pitt County	170570
Polk County	19372
Randolph County	144334
Richmond County	42879
Robeson County	116361
Rockingham County	91080
Rowan County	147027
Rutherford County	64421
Sampson County	59021
Scotland County	34110
Stanly County	62609
Stokes County	44517
Surry County	71253
Swain County	14083
Transylvania County	33009
Tyrrell County	3232
Union County	239287
Vance County	42529
Wake County	1133553
Warren County	18598
Washington County	10955
Watauga County	54072
Wayne County	117226
Wilkes County	65871
Wilson County	78811
Yadkin County	37182
Yancey County	18475
