Adams County	2167
Barnes County	10806
Benson County	5809
Billings County	955
Bottineau County	6390
Bowman County	2903
Burke County	2158
Burleigh County	98933
Cass County	186562
Cavalier County	3662
Dickey County	4897
Divide County	2188
Dunn County	4035
Eddy County	2337
Emmons County	3271
Foster County	3364
Golden Valley County	1770
Grand Forks County	72705
Grant County	2323
Griggs County	2281
Hettinger County	2430
Kidder County	2369
LaMoure County	4066
Logan County	1883
McHenry County	5249
McIntosh County	2513
McKenzie County	13819
McLean County	9796
Mercer County	8323
Morton County	33611
Mountrail County	9576
Nelson County	3054
Oliver County	1873
Pembina County	6767
Pierce County	3953
Ramsey County	11572
Ransom County	5675
Renville County	2266
Richland County	16560
Rolette County	12048
Sargent County	3829
Sheridan County	1268
Sioux County	3738
Slope County	690
Stark County	33046
Steele County	1810
Stutsman County	21576
Towner County	2140
Traill County	8003
Walsh County	10469
Ward County	69071
Wells County	3905
Williams County	38484
