Adair County	19414
Alfalfa County	5710
Atoka County	14324
Beaver County	4980
Beckham County	22046
Blaine County	8562
Bryan County	47105
Caddo County	26368
Canadian County	161737
Carter County	48291
Cherokee County	47627
Choctaw County	14307
Cimarron County	2248
Cleveland County	297597
Coal County	5276
Comanche County	122063
Cotton County	5480
Craig County	14115
Creek County	72029
Custer County	28163
Delaware County	41000
Dewey County	4417
Ellis County	3762
Garfield County	61926
Garvin County	25804
Grady County	55508
Grant County	4131
Greer County	5487
Harmon County	2418
Harper County	3180
Haskell County	11602
Hughes County	13405
Jackson County	24777
Jefferson County	5438
Johnston County	10301
Kay County	43732
Kingfisher County	15204
Kiowa County	8410
Latimer County	9427
Le Flore County	48476
Lincoln County	33829
Logan County	50885
Love County	10216
McClain County	43516
McCurtain County	30884
McIntosh County	19245
Major County	7668
Marshall County	15594
Mayes County	39159
Murray County	13718
Muskogee County	66146
Noble County	10933
Nowata County	9303
Okfuskee County	11197
Oklahoma County	798575
Okmulgee County	36843
Osage County	45772
Ottawa County	30340
Pawnee County	15741
Payne County	81989
Pittsburg County	43633
Pontotoc County	38163
Pottawatomie County	73019
Pushmataha County	10815
Roger Mills County	3386
Rogers County	96695
Seminole County	23567
Sequoyah County	39508
Stephens County	43129
Texas County	20865
Tillman County	7076
Tulsa County	672858
Wagoner County	84050
Washington County	52772
Washita County	10915
Woods County	8583
Woodward County	20205
