Baker County	16689
Benton County	95167
Clackamas County	422160
Clatsop County	41089
Columbia County	52631
Coos County	64887
Crook County	24923
Curry County	23503
Deschutes County	199355
Douglas County	111235
Gilliam County	2016
Grant County	7223
Harney County	7491
Hood River County	23943
Jackson County	223394
Jefferson County	24518
Josephine County	88105
Klamath County	69504
Lake County	8149
Lane County	382940
Lincoln County	50472
Linn County	128936
Malheur County	31608
Marion County	346202
Morrow County	12191
Multnomah County	815871
Polk County	87863
Sherman County	1872
Tillamook County	27471
Umatilla County	80011
Union County	26149
Wallowa County	7387
Wasco County	26611
Washington County	600689
Wheeler County	1457
Yamhill County	107832
