Aurora County	2733
Beadle County	19146
Bennett County	3386
Bon Homme County	6979
Brookings County	34339
Brown County	38210
Brule County	5263
Buffalo County	1944
Butte County	10249
Campbell County	1374
Charles Mix County	9351
Clark County	3850
Clay County	14998
Codington County	28309
Corson County	3893
Custer County	8328
Davison County	19936
Day County	5425
Deuel County	4299
Dewey County	5226
Douglas County	2824
Edmunds County	3977
Fall River County	6964
Faulk County	2128
Grant County	7532
Gregory County	3994
Haakon County	1869
Hamlin County	6167
Hand County	3130
Hanson County	3461
Harding County	1317
Hughes County	17704
Hutchinson County	7411
Hyde County	1258
Jackson County	2810
Jerauld County	1657
Jones County	925
Kingsbury County	5211
Lake County	11010
Lawrence County	25812
Lincoln County	65613
Lyman County	3714
McCook County	5661
McPherson County	2397
Marshall County	4300
Meade County	29853
Mellette County	1916
Miner County	2294
Minnehaha County	197511
Moody County	6324
Oglala Lakota County	13672
Pennington County	109475
Perkins County	2824
Potter County	2471
Roberts County	10257
Sanborn County	2318
Spink County	6338
Stanley County	2976
Sully County	1446
Todd County	9319
Tripp County	5601
Turner County	8673
Union County	16832
Walworth County	5289
Yankton County	23238
Ziebach County	2388
