Anderson County	77576
Bedford County	51119
Benton County	15872
Bledsoe County	15234
Blount County	137605
Bradley County	110162
Campbell County	39578
Cannon County	14553
Carroll County	28432
Carter County	56134
Cheatham County	41523
Chester County	17504
Claiborne County	32267
Clay County	7555
Cocke County	36418
Coffee County	59032
Crockett County	13979
Cumberland County	62451
Davidson County	703953
Decatur County	11391
DeKalb County	20478
Dickson County	55292
Dyer County	36615
Fayette County	42832
Fentress County	18850
Franklin County	43215
Gibson County	50541
Giles County	30542
Grainger County	23763
Greene County	70621
Grundy County	13622
Hamblen County	64468
Hamilton County	369135
Hancock County	6787
Hardeman County	25426
Hardin County	26892
Hawkins County	57288
Haywood County	17694
Henderson County	27953
Henry County	32239
Hickman County	25307
Houston County	8317
Humphreys County	19211
Jackson County	11750
Jefferson County	55624
Johnson County	18170
Knox County	486677
Lake County	7128
Lauderdale County	25108
Lawrence County	44828
Lewis County	12857
Lincoln County	35433
Loudon County	56690
McMinn County	54059
McNairy County	25860
Macon County	25699
Madison County	98775
Marion County	28877
Marshall County	34984
Maury County	104760
Meigs County	13049
Monroe County	46698
Montgomery County	227900
Moore County	6644
Morgan County	21254
Obion County	30466
Overton County	22839
Perry County	8472
Pickett County	5079
Polk County	17776
Putnam County	81188
Rhea County	33136
Roane County	53992
Robertson County	74098
Rutherford County	352182
Scott County	21917
Sequatchie County	16396
Sevier County	99517
Shelby County	924454
Smith County	20172
Stewart County	13855
Sullivan County	159265
Sumner County	200557
Tipton County	61004
Trousdale County	12035
Unicoi County	17698
Union County	20040
Van Buren County	6324
Warren County	41523
Washington County	134236
Wayne County	16409
Weakley County	33036
White County	27650
Williamson County	255735
Wilson County	151917
