Anderson County	58402
Andrews County	18440
Angelina County	86506
Aransas County	24510
Archer County	8681
Armstrong County	1839
Atascosa County	49939
Austin County	30380
Bailey County	6835
Bandera County	21565
Bastrop County	102058
Baylor County	3477
Bee County	30924
Bell County	379617
Bexar County	2028236
Blanco County	11886
Borden County	617
Bosque County	18503
Bowie County	92581
Brazoria County	379689
Brazos County	237032
Brewster County	9450
Briscoe County	1403
Brooks County	6994
Brown County	38192
Burleson County	18051
Burnet County	50954
Caldwell County	46791
Calhoun County	19727
Callahan County	14115
Cameron County	423029
Camp County	12616
Carson County	5746
Cass County	28560
Castro County	7374
Chambers County	48865
Cherokee County	51097
Childress County	6736
Clay County	10263
Cochran County	2516
Coke County	3321
Coleman County	7735
Collin County	1109462
Collingsworth County	2615
Colorado County	20630
Comal County	174986
Comanche County	13775
Concho County	3341
Cooke County	42244
Coryell County	84232
Cottle County	1381
Crane County	4680
Crockett County	3068
Crosby County	5106
Culberson County	2193
Dallam County	7172
Dallas County	2586050
Dawson County	12413
Deaf Smith County	18329
Delta County	5392
Denton County	941647
DeWitt County	19918
Dickens County	1740
Dimmit County	8473
Donley County	3268
Duval County	9756
Eastland County	17864
Ector County	161091
Edwards County	1438
Ellis County	202678
El Paso County	867947
Erath County	43378
Falls County	17313
Fannin County	36569
Fayette County	24687
Fisher County	3706
Floyd County	5350
Foard County	1080
Fort Bend County	858527
Franklin County	10464
Freestone County	19774
Frio County	18436
Gaines County	21895
Galveston County	355062
Garza County	5863
Gillespie County	27297
Glasscock County	1149
Goliad County	7163
Gonzales County	19641
Gray County	21030
Grayson County	139336
Gregg County	124201
Grimes County	30287
Guadalupe County	177036
Hale County	32220
Hall County	2845
Hamilton County	8229
Hansford County	5159
Hardeman County	3552
Hardin County	56973
Harris County	4728030
Harrison County	69150
Hartley County	5397
Haskell County	5411
Hays County	255397
Hemphill County	3271
Henderson County	83667
Hidalgo County	880356
Hill County	36471
Hockley County	21363
Hood County	64222
Hopkins County	37211
Houston County	22241
Howard County	34128
Hudspeth County	3287
Hunt County	103394
Hutchinson County	20495
Irion County	1552
Jack County	8712
Jackson County	15121
Jasper County	32975
Jeff Davis County	1949
Jefferson County	253704
Jim Hogg County	4801
Jim Wells County	38847
Johnson County	187280
Jones County	19873
Karnes County	14754
Kaufman County	157768
Kendall County	46788
Kenedy County	340
Kent County	749
Kerr County	53161
Kimble County	4365
King County	258
Kinney County	3130
Kleberg County	30635
Knox County	3351
Lamar County	50098
Lamb County	12898
Lampasas County	22252
La Salle County	6670
Lavaca County	20544
Lee County	17706
Leon County	15959
Liberty County	97621
Limestone County	22119
Lipscomb County	2931
Live Oak County	11377
Llano County	21978
Loving County	57
Lubbock County	314451
Lynn County	5688
McCulloch County	7533
McLennan County	263115
McMullen County	608
Madison County	13718
Marion County	9645
Martin County	5211
Mason County	3943
Matagorda County	36344
Maverick County	58056
Medina County	51981
Menard County	1982
Midland County	167969
Milam County	25106
Mills County	4480
Mitchell County	9070
Montague County	20409
Montgomery County	648886
Moore County	21118
Morris County	12030
Motley County	1067
Nacogdoches County	64668
Navarro County	53591
Newton County	12241
Nolan County	14597
Nueces County	353079
Ochiltree County	9782
Oldham County	1717
Orange County	84742
Palo Pinto County	28686
Panola County	22675
Parker County	156764
Parmer County	9813
Pecos County	15118
Polk County	51899
Potter County	116547
Presidio County	6140
Rains County	12509
Randall County	143854
Reagan County	3253
Real County	2826
Red River County	11555
Reeves County	14487
Refugio County	6756
Roberts County	797
Robertson County	16958
Rockwall County	116381
Runnels County	9943
Rusk County	52743
Sabine County	10039
San Augustine County	7922
San Jacinto County	27878
San Patricio County	69699
San Saba County	5827
Schleicher County	2429
Scurry County	16824
Shackelford County	3212
Shelby County	23939
Sherman County	2798
Smith County	237186
Somervell County	9469
Starr County	66049
Stephens County	9173
Sterling County	1381
Stonewall County	1217
Sutton County	3319
Swisher County	7008
Tarrant County	2126477
Taylor County	143326
Terrell County	724
Terry County	11754
Throckmorton County	1495
Titus County	31183
Tom Green County	119411
Travis County	1305154
Trinity County	13827
Tyler County	20077
Upshur County	41774
Upton County	3265
Uvalde County	24729
Val Verde County	47564
Van Zandt County	61275
Victoria County	90964
Walker County	77977
Waller County	59781
Ward County	11194
Washington County	35891
Webb County	267945
Wharton County	41721
Wheeler County	4927
Wichita County	130069
Wilbarger County	12731
Willacy County	20316
Williamson County	643026
Wilson County	51257
Winkler County	7415
Wise County	71714
Wood County	45875
Yoakum County	7607
Young County	17977
Zapata County	13908
Zavala County	9534
