Beaver County	7249
Box Elder County	59688
Cache County	137417
Carbon County	20372
Daggett County	976
Davis County	367285
Duchesne County	19790
Emery County	9967
Garfield County	5129
Grand County	9663
Iron County	60519
Juab County	12155
Kane County	7992
Millard County	13164
Morgan County	12657
Piute County	1487
Rich County	2597
Salt Lake County	1186421
San Juan County	14489
Sanpete County	29106
Sevier County	21906
Summit County	43093
Tooele County	76640
Uintah County	36204
Utah County	684986
Wasatch County	36173
Washington County	191226
Wayne County	2558
Weber County	267066
