Adams County	20621
Asotin County	22397
Benton County	210025
Chelan County	79646
Clallam County	78209
Clark County	511404
Columbia County	4042
Cowlitz County	111524
Douglas County	43696
Ferry County	7273
Franklin County	98268
Garfield County	2346
Grant County	100297
Grays Harbor County	76841
Island County	87432
Jefferson County	33605
King County	2252305
Kitsap County	274314
Kittitas County	45499
Klickitat County	23118
Lewis County	84398
Lincoln County	11232
Mason County	67615
Okanogan County	42634
Pacific County	23948
Pend Oreille County	13886
Pierce County	925708
San Juan County	18557
Skagit County	130696
Skamania County	12170
Snohomish County	833540
Spokane County	546040
Stevens County	47426
Thurston County	297977
Wahkiakum County	4582
Walla Walla County	62682
Whatcom County	228831
Whitman County	47873
Yakima County	256035
