Barbour County	15440
Berkeley County	122654
Boone County	21714
Braxton County	12386
Brooke County	22469
Cabell County	94137
Calhoun County	6199
Clay County	8006
Doddridge County	7786
Fayette County	40358
Gilmer County	7378
Grant County	10954
Greenbrier County	32866
Hampshire County	23067
Hancock County	29019
Hardy County	14240
Harrison County	65771
Jackson County	27735
Jefferson County	57732
Kanawha County	180048
Lewis County	17009
Lincoln County	20337
Logan County	32473
McDowell County	18916
Marion County	56157
Marshall County	30444
Mason County	25356
Mercer County	59462
Mineral County	26877
Mingo County	23455
Monongalia County	105916
Monroe County	12330
Morgan County	17037
Nicholas County	24523
Ohio County	42264
Pendleton County	6134
Pleasants County	7649
Pocahontas County	7847
Preston County	34176
Putnam County	57399
Raleigh County	74349
Randolph County	27852
Ritchie County	8424
Roane County	13977
Summers County	11915
Taylor County	16701
Tucker County	6752
Tyler County	8279
Upshur County	23783
Wayne County	38830
Webster County	8329
Wetzel County	14382
Wirt County	5183
Wood County	83996
Wyoming County	21326
